DateTime,Mass_kg,Speed_m/s,Net_Breach
2019-03-28 01:00:00,85,-70,1
2019-03-29 03:00:00,324,28,1
2019-03-29 06:00:00,353,-18,0
2019-03-29 07:00:00,81,10,0
2019-03-30 01:00:00,2033,17,1
2019-03-30 01:00:00,452,-4,0
2019-03-31 12:00:00,40,9,0
2019-03-31 16:00:00,573,9,0
2019-03-31 23:00:00,55,52,0
2019-04-01 10:00:00,674,9,0
2019-04-02 04:00:00,1033,42,1
2019-04-02 10:00:00,69,9,0
2019-04-02 21:00:00,831,8,0
2019-04-03 01:00:00,416,1,0
2019-04-03 18:00:00,703,13,0
2019-04-04 12:00:00,2087,7,0
2019-04-04 13:00:00,162,-32,1
2019-04-07 10:00:00,76,9,0
2019-04-07 17:00:00,62,6,0
2019-04-08 15:00:00,70,-1,0
2019-04-08 17:00:00,208,3,0
2019-04-08 18:00:00,377,8,0
2019-04-08 23:00:00,345,8,0
2019-04-09 06:00:00,708,-6,0
2019-04-09 21:00:00,237,25,0
2019-04-12 20:00:00,1398,3,0
2019-04-15 05:00:00,158,8,0
2019-04-15 22:00:00,3825,10,1
2019-04-16 00:00:00,551,5,0
2019-04-16 01:00:00,66,13,0
2019-04-16 10:00:00,48,0,0
2019-04-17 21:00:00,457,6,0
2019-04-18 03:00:00,168,-5,0
2019-04-18 06:00:00,616,-5,0
2019-04-18 07:00:00,451,-19,0
2019-04-19 12:00:00,67,2,0
2019-04-19 12:00:00,209,5,0
2019-04-20 12:00:00,24,6,0
2019-04-21 17:00:00,121,8,0
2019-04-22 01:00:00,733,-67,1
2019-04-23 16:00:00,316,-14,0
2019-04-23 23:00:00,36,22,0
2019-04-24 06:00:00,298,13,0
2019-04-25 07:00:00,401,8,0
2019-04-27 02:00:00,63,26,0
2019-04-27 04:00:00,290,12,0
2019-04-28 08:00:00,253,1,0
2019-04-29 13:00:00,43,10,0
2019-04-30 03:00:00,506,7,0
2019-04-30 03:00:00,386,15,0
2019-04-30 04:00:00,951,7,0
2019-04-30 11:00:00,921,14,0
2019-05-02 11:00:00,30,9,0
2019-05-02 21:00:00,58,9,0
2019-05-03 02:00:00,477,8,0
2019-05-03 08:00:00,476,6,0
2019-05-05 13:00:00,477,-6,0
2019-05-06 08:00:00,7211,12,1
2019-05-07 16:00:00,513,5,0
2019-05-09 12:00:00,1008,7,0
2019-05-10 20:00:00,822,15,0
2019-05-11 03:00:00,569,8,0
2019-05-11 08:00:00,147,6,0
2019-05-12 18:00:00,651,16,0
2019-05-12 18:00:00,74,14,0
2019-05-13 04:00:00,165,13,0
2019-05-13 06:00:00,114,13,0
2019-05-15 16:00:00,262,0,0
2019-05-16 06:00:00,2894,-73,1
2019-05-16 14:00:00,12,10,0
2019-05-19 09:00:00,595,-77,1
2019-05-19 22:00:00,20,8,0
2019-05-20 04:00:00,116,9,0
2019-05-20 22:00:00,957,7,0
2019-05-20 23:00:00,255,2,0
2019-05-22 23:00:00,47,-50,0
2019-05-23 02:00:00,81,8,0
2019-05-26 17:00:00,590,0,0
2019-05-27 14:00:00,79,9,0
2019-05-27 19:00:00,317,64,1
2019-05-28 03:00:00,249,32,1
2019-05-28 22:00:00,89,10,0
2019-05-29 00:00:00,2545,-21,1
2019-05-29 07:00:00,557,6,0
2019-05-29 08:00:00,9,34,0
2019-05-30 06:00:00,304,13,0
2019-05-30 20:00:00,88,13,0
2019-05-31 16:00:00,729,7,0
2019-06-01 15:00:00,72,-1,0
2019-06-03 23:00:00,197,4,0
2019-06-04 07:00:00,471,0,0
2019-06-06 11:00:00,741,9,0
2019-06-06 16:00:00,39,36,0
2019-06-08 01:00:00,142,-30,0
2019-06-08 15:00:00,116,13,0
2019-06-08 17:00:00,89,82,1
2019-06-10 15:00:00,1865,-41,1
2019-06-10 23:00:00,412,-2,0
2019-06-12 00:00:00,36,-21,0
2019-06-13 19:00:00,788,-11,0
