Simulierte Steinschläge,Anzahl Tote,Laufzeit (jahre),Wahrscheinlichkeit Todesfall
10000,1,23.41974885844749,0.04269900612701492
20000,1,46.83618721461187,0.02135101210134419
30000,1,69.85901826484019,0.014314544132425873
40000,1,93.31324200913242,0.010716592612891228
50000,1,116.83470319634702,0.00855910078634296
60000,1,140.3640410958904,0.007124331788914833
70000,1,164.23778538812786,0.0060887328554558445
80000,1,187.56883561643835,0.005331376061025998
90000,1,211.2131278538813,0.004734554192539617
100000,1,234.0236301369863,0.004273072763697613
110000,1,257.5493150684932,0.0038827515411332314
120000,1,280.211301369863,0.0035687354332652587
130000,1,304.24006849315066,0.0032868780399400712
140000,1,328.10125570776256,0.003047839600134578
150000,1,351.93390410958904,0.0028414426354575065
160000,1,374.96598173515986,0.0026669085962744868
170000,1,397.98253424657537,0.0025126730797197165
180000,1,421.4344748858448,0.0023728481165924383
190000,1,444.6513698630137,0.0022489529275667715
200000,1,467.94543378995434,0.002137001299277274
210000,1,491.4771689497717,0.0020346825105566576
220000,1,514.8133561643835,0.0019424515468100887
230000,1,538.5359589041096,0.0018568862180251505
240000,1,561.9837899543379,0.001779410755034859
250000,1,585.085502283105,0.0017091519036069544
260000,1,608.5381278538813,0.0016432824078364311
270000,1,632.0617579908676,0.0015821238784936085
280000,1,655.1786529680365,0.0015263012545812995
290000,1,679.0481735159817,0.0014726495689137797
300000,1,702.4546803652968,0.001423579382345308
310000,1,726.186301369863,0.001377057096937274
320000,1,750.0487442922375,0.0013332466824454482
330000,1,773.3208904109589,0.0012931242546267941
340000,1,797.1847031963471,0.0012544144361908301
350000,1,821.1832191780821,0.001217755035229403
360000,1,845.0116438356164,0.0011834156455653932
370000,1,868.4154109589041,0.001151522632349189
380000,2,892.4220319634703,0.002241092138435536
390000,2,916.1686073059361,0.002183004289877551
400000,2,940.208105022831,0.002127188639744213
410000,2,963.2947488584474,0.002076207726005047
420000,2,985.7562785388128,0.002028899073272555
430000,2,1008.812100456621,0.001982529748696249
440000,2,1032.182191780822,0.0019376424200357534
450000,2,1055.2898401826485,0.0018952139249761393
460000,2,1078.3700913242008,0.0018546508439825794
470000,2,1102.1464611872145,0.0018146408580268288
480000,2,1125.998287671233,0.0017762016353829097
490000,2,1150.1424657534246,0.0017389150123153297
500000,2,1174.2069634703196,0.0017032772434674409
510000,2,1197.3925799086758,0.001670295969390873
520000,2,1220.5212328767122,0.0016386441678577703
530000,2,1244.6852739726028,0.001606831897043897
540000,2,1268.716894977169,0.001576395812113774
550000,2,1292.4478310502282,0.001547451240933124
560000,2,1315.5366438356164,0.001520292125173148
570000,2,1338.3537671232878,0.0014943731987237439
580000,2,1361.5106164383562,0.0014689565956025376
590000,2,1384.287899543379,0.0014447861609277375
600000,2,1407.127397260274,0.0014213354127665125
610000,2,1429.902397260274,0.0013986968647874472
620000,2,1453.474885844749,0.001376012767387869
630000,2,1477.1538812785386,0.00135395507898535
640000,2,1500.651598173516,0.0013327543864506955
650000,2,1523.558789954338,0.0013127159996628298
660000,2,1546.8389269406393,0.0012929594446886782
670000,2,1569.9941780821919,0.0012738900741931902
680000,2,1592.7479452054795,0.001255691464566279
690000,3,1615.9670091324201,0.0018564735437331973
700000,3,1639.9421232876712,0.001829332851079985
710000,3,1663.6519406392695,0.0018032618041771585
720000,3,1687.4654109589042,0.0017778142180083245
730000,3,1710.4173515981736,0.0017539578847214517
740000,3,1734.0855022831051,0.0017300185002701342
750000,3,1757.3729452054795,0.0017070935387873672
760000,3,1781.5831050228312,0.0016838956271767937
770000,3,1804.9182648401825,0.001662125126904645
780000,3,1828.5222602739725,0.0016406691158085776
790000,3,1852.0673515981737,0.001619811502757316
800000,3,1875.189497716895,0.0015998383116226915
810000,3,1898.632305936073,0.0015800847750354302
820000,3,1922.138698630137,0.001560761459169429
830000,3,1945.7378995433792,0.0015418315080895698
840000,3,1969.486187214612,0.0015232399290105274
850000,3,1993.6328767123289,0.0015047905936158399
860000,3,2017.1444063926942,0.0014872509823751136
870000,3,2039.6288812785388,0.001470855814769329
880000,3,2063.0756849315067,0.0014541395751555275
890000,3,2086.00799086758,0.001438153647125909
900000,3,2109.843378995434,0.0014219064930916338
910000,3,2133.47602739726,0.001406155945262651
920000,3,2156.667237442922,0.0013910351805394815
930000,3,2180.4794520547944,0.0013758441966389195
940000,3,2204.039726027397,0.0013611369906690641
950000,3,2227.75799086758,0.0013466453772349293
960000,3,2250.654680365297,0.0013329454874494915
970000,3,2274.142694063927,0.001319178434946382
980000,3,2297.7884703196346,0.0013056032088030645
990000,3,2321.2722602739727,0.0012923947144596985
